English,Arabic
shatter,تحطيم
accident,حادثة
adventurous,مغامر
advertise,يعلن
affectionate,حنونة
afterward,بعد ذلك
agree,يوافق
area,منطقة
ball,كرة
bank,بنك
baptism,المعمودية
bar,حاجِز
barbarian,البربرة
bleak,كئيب
blindfold,عصب العينين
boat,قارب
bowel,الأمعاء
bows,أقواس
brewing,تخمير
capabilities,قدرات
carcass,جثة
carefree,براحة البال
certain,تأكيد
charge,تكلفة
chimp,الشمبانزي
combo,التحرير والسرد
consulted,تم استشارتها
contributed,ساهم
coping,التعامل
count,عدد
cover,غطاء
crime,جريمة
crying,بكاء
dazzling,مبهر
deceit,الخداع
deep,عميق
detective,المحقق
dialed,طلب
difficult,صعب
digits,الأرقام
disrupt,تعطل
edgy,منفعل
eight,ثمانية
endurance,تَحمُّل
enjoy,يتمتع
entertained,مسلية
evolutionary,التطور
expectation,توقع
expel,يطرد
fascists,الفاشيين
fell,يسقط
fish,سمكة
gains,مكاسب
girlie,بناتي
gold,ذهب
government,حكومة
ground,أرضي
grumbling,التذمر
hallucinating,الهلوسة
harassed,مضايقة
hide,يخفي
high-end,راقية
homesick,الحنين إلى الوطن
honor,شرف
horse,حصان
hypothetically,افتراضيا
idiot,غبي
implications,تداعيات
inevitably,لا محالة
inquiries,استفسارات
interested,مهتم
key,مفتاح
leagues,بطولات الدوري
lunch,غداء
major,رئيسي
mark,علامة
mayonnaise,مايونيز
midwife,مُوَلدَة
morn,الضحى
notary,كاتب عدل
offer,يعرض
offscreen,خارج الشاشة
paper,ورق
parental,أبوي
penitentiary,إصلاحية
personal,شخصي
perverted,منحرفة
phenomena,ظواهر
pollen,لقاح
precedent,سابقة
present,حاضر
preventing,منع
prison,سجن
problems,مشاكل
quickly,بسرعة
radio,مذياع
reap,يجني
record,سِجِلّ
regained,استعاد
relax,يستريح
restoration,استعادة
retainer,التجنيب
retribution,الانتقام
ribbons,أشرطة
saline,المالحة
scallops,المحارات الصدفية
scripts,نصوص
sea,بحر
smart,ذكي
snipers,القناصة
spat,بصق
specialists,المتخصصون
specs,المواصفات
star,نجمة
statute,النظام الأساسي
steamed,على البخار
stick,يلزق
stopped,توقفت
stung,قرص
surprise,مفاجأة
surrogate,بديل
swab,مسحة
tam,تام
thunderclap,الرعد
tormented,معذب
trip,رحلة
unanimous,بالإجماع
unforgettable,لا ينسى
vibrations,الاهتزازات
vineyard,حقل عنب
virtues,مزايا
wearing,يلبس
whether,سواء
